topic1;question;category;
trastornos del corazón y los vasos sanguíneos;cómo diagnostica mixoma;18;
trastornos del corazón y los vasos sanguíneos;dame información introducción miocardiopatías arritmogénicas;18;
trastornos neurológicos;cómo reconocen síntomas signos hidrocefalia presión normal;26;
trastornos oftálmicos;cómo trata desprendimiento retina;29;
trastornos nutricionales;cómo evaluar nutricional medicina clínica;27;
trastornos de la sangre;cómo realiza afèresis intercambio glóbulos rojos;15;
trastornos de la salud mental;cómo diagnostica trastorno obsesivocompulsivo personalidad;14;
salud de las personas de edad avanzada;cómo atienden personas mayores través centros atención servicios comunidad;9;
trastornos de los tejidos musculoesquelético y conectivo;cómo obtengo información espondilitis anquilosante;17;
trastornos odontológicos;cómo realiza bloqueo nervio alveolar inferior trastornos odontológicos cuáles contraindicaciones;28;
hematología y oncología;podrías darme información leucemias general;6;
salud femenina;cómo trata dolor pelvico primer trimestre embarazo relación salud femenina hogar;10;
trastornos de los huesos; articulaciones y músculos;cómo identifican síntomas vasculitis asociada inmunoglobulina trastornos huesos articulaciones músculos;16
trastornos nutricionales;cómo trata toxicidad cobre;27;
trastornos oftálmicos;cómo causan neuropatías ópticas compresivas;29;
trastornos inmunológicos;cómo diagnositan trastornos inmunológicos trasplante riñón;25;
ginecología y obstetricia;cómo presenta mastalgia dolor mamario ginecología obstetricia;5;
trastornos otorrinolaringológicos;cómo evaluar hemorragias nasales;30;
infecciones;cómo presentan infecciones parasitarias;7;
trastornos psiquiátricos;cuáles conceptos clave trastorno obsesivocompulsivo toc;31;
trastornos oftálmicos;cómo produce oclusión arteria central retina rama arteria retiniana causa trastornos oftálmicos;29;
trastornos cardiovasculares;cómo causa angina pecho;12;
trastornos otorrinolaringológicos;qué conceptos clave otitis media crónica;30;
trastornos de los huesos; articulaciones y músculos;cómo diagnostica artritis mano;16
ginecología y obstetricia;cuál introducción fisiología embarazo ginecología obstetricia;5;
trastornos otorrinolaringológicos;cómo presentan trastornos otorrinolaringológicos relacionados masa cervical;30;
trastornos oftálmicos;dame información introducción trastornos oftálmicos entropión ectropión;29;
trastornos de los huesos; articulaciones y músculos;cómo diagnostican síntomas síndrome sjögren;16
trastornos de la piel;cómo diagnostica onicólisis;13;
inmunología y trastornos alérgicos;cómo seleccionan donantes hígado trasplante;8;
salud femenina;dame información problemas infertilidad relacionados moco cervical mujeres;10;
trastornos de los tejidos musculoesquelético y conectivo;cómo diagnostica enfermedad freiberg;17;
trastornos oftálmicos;cómo explora salud ojos cómo realizan pruebas visión color;29;
trastornos del hígado y de la vesícula biliar;cómo diagnostica colecistitis aguda;19;
ginecología y obstetricia;cómo estudian trastornos semen ginecología obstetricia papel desempeñan estudios genéticos;5;
traumatismos y envenenamientos;cómo presenta intoxicación embolismo gaseoso arterial;35;
trastornos cardiovasculares;cuáles conceptos clave miocardiopatía restrictiva;12;
fundamentos;cómo empezar programa ejercicios físicos básicos;2;
hematología y oncología;cómo refiere generalmente anemias sideroblásticas hematología oncología;6;
trastornos del corazón y los vasos sanguíneos;cómo diagnostica dolor miembros relacionado trastornos corazón vasos sanguíneos vivienda;18;
infecciones;dame informaciones introducción babesiosis;7;
infecciones;cómo trata neuralgia posherpética;7;
trastornos pulmonares;qué conceptos clave neumonitis hipersensibilidad;32;
salud femenina;cómo presentan síntomas hiperémesis gravídica;10;
trastornos del corazón y los vasos sanguíneos;cómo trata desmayo;18;
salud femenina;cómo maneja hinchazón último trimestre embarazo relación salud femenina hogar;10;
trastornos de los huesos; articulaciones y músculos;cómo presenta enfermedad ósea paget;16
trastornos hormonales y metabólicos;cómo juega potasio papel importante organismo;24;
trastornos de la sangre;cómo presentan trastornos eosinófilos contexto trastornos sangre;15;
ginecología y obstetricia;qué entiende embarazos alto riesgo cómo evalúa riesgo mismo;5;
trastornos del hígado y de la vesícula biliar;cómo causan colestasis;19;
trastornos dermatológicos;cómo trata tinea capitis tiña cuero cabelludo;21;
trastornos nutricionales;cómo añaden aditivos alimentos cómo pueden causar trastornos nutricionales;27;
trastornos del pulmón y las vías respiratorias;cómo identifican síntomas enfermedad pulmonar obstructiva crónica epoc;20;
trastornos del corazón y los vasos sanguíneos;dame información introducción miocardiopatía restrictiva;18;
salud femenina;cómo cambian condiciones salud femenina embarazo relación corazón flujo sanguíneo;10;
trastornos de los huesos; articulaciones y músculos;cómo diagnostica osteoporosis;16
trastornos del hígado y de la vesícula biliar;cómo presenta introducción ascitis relación trastornos hígado vesícula biliar;19;
trastornos neurológicos;cómo reconocen síntomas signos síndromes compresión salida torácica;26;
trastornos del corazón y los vasos sanguíneos;cómo realiza electrocardiografía detectar trastornos corazón vasos sanguíneos;18;
trastornos cardiovasculares;cuáles conceptos clave linfedema trastornos cardiovasculares;12;
trastornos del corazón y los vasos sanguíneos;cómo trata hipertensión arterial;18;
trastornos del pulmón y las vías respiratorias;cómo relacionan enfermedades relacionadas edificios trastornos pulmón vías respiratorias enfermedades inespecíficas relacionadas edificios;20;
trastornos otorrinolaringológicos;cómo trata laringitis;30;
fármacos o sustancias;dime proceso diseño desarrollo medicamentos;3;
traumatismos y envenenamientos;dame información introducción concussión cerebral relacionada deporte traumatismos envenenamientos;35;
trastornos de los tejidos musculoesquelético y conectivo;cómo diagnostica granulomatosis poliangeítis;17;
trastornos de la piel;cómo presenta introducción pioderma gangrenoso;13;
salud femenina;cómo realiza evaluación antecedentes familiares contexto salud femenina detección genética embarazo;10;
trastornos endocrinológicos y metabólicos;cómo trata insuficiencia suprarrenal secundaria;22;
trastornos renales y del tracto urinario;dame información nefronoptisis enfermedad renal tubulointersticial autosómica dominante;33;
trastornos de los tejidos musculoesquelético y conectivo;cómo diagnostica tenosinovitis flexora infecciosa;17;
infecciones;dame informaciones introducción gripe aviaria;7;
trastornos del pulmón y las vías respiratorias;cómo trata enfermedades relacionadas contaminación atmosférica pulmones vías respiratorias;20;
trastornos dermatológicos;cómo diagnostican abscesos cutáneos;21;
trastornos del corazón y los vasos sanguíneos;cómo trata linfedema;18;
trastornos otorrinolaringológicos;cómo trata epistaxis anterior compresas nasales cómo describe tratamiento paso paso epistaxis anterior oclusión nasal compresas;30;
trastornos del hígado y de la vesícula biliar;cómo presentan síntomas hipertensión portal;19;
trastornos renales y del tracto urinario;cómo realiza diagnóstico vías urinarias mediante pruebas imagen tomografía emisión positrones;33;
traumatismos y envenenamientos;cómo presentan traumatismos envenenamientos fractura tobillo;35;
trastornos endocrinológicos y metabólicos;cómo presentan signos síntomas hiperfosfatemia;22;
trastornos de los huesos; articulaciones y músculos;cómo presenta introducción necrosis ósea;16
trastornos odontológicos;cómo entienden conceptos esenciales geriatría relacionados trastornos odontológicos dolor dental infección;28;
trastornos de los huesos; articulaciones y músculos;cómo causan dificultades moverse trastornos huesos articulaciones músculos;16
trastornos nutricionales;dame informaciones introducción desnutrición calórico proteica;27;
trastornos otorrinolaringológicos;cómo presenta neuronitis vestibular cómo diagnostica;30;
geriatría;cómo pueden prevenir complicaciones iatrogénicas ancianos;4;
trastornos pulmonares;cómo diagnostican neumonías intersticiales idiopáticas;32;
trastornos urogenitales;cómo diagnostica glomerulonefritis rápidamente progresiva;34;
inmunología y trastornos alérgicos;cómo diagnostica síndrome hipergammaglobulinemia síndrome hiper igm ligado x inmunología trastornos alérgicos;8;
trastornos dermatológicos;cómo diagnostica eritema multiforme;21;
infecciones;cómo causan intoxicaciones botulismo;7;
trastornos neurológicos;cómo realiza biopsia nervio músculo investigar trastornos neurológicos;26;
trastornos dermatológicos;cómo trata rosácea;21;
trastornos psiquiátricos;cómo diagnostica trastorno ansiedad;31;
trastornos oftálmicos;cómo diagnostica retinopatía hipertensiva;29;
trastornos pulmonares;cómo produce etiología bronquiectasias;32;
trastornos de la piel;cómo obtengo información dermatitis herpetiforme;13;
trastornos nutricionales;cómo previene deficiencia vitamina e;27;
trastornos del corazón y los vasos sanguíneos;dame informaciones introductories hipotensión arterial;18;
trastornos cardiovasculares;dime introducción dolor torácico trastornos cardiovasculares;12;
trastornos de la piel;cómo trata dermatitis herpetiforme;13;
trastornos de los tejidos musculoesquelético y conectivo;cómo diagnostica miositis autoinmune;17;
ginecología y obstetricia;cómo realiza aborto inducido ginecología obstetricia cuál referencia apropiada procedimiento;5;
trastornos oftálmicos;cómo causa visión borrosa;29;
infecciones;cómo tratan infecciones hogar adultos;7;
trastornos nutricionales;cómo reconocen síntomas deficiencia vitamina k;27;
ginecología y obstetricia;cómo diagnostica depresión posparto;5;
trastornos pulmonares;cómo presentan signos síntomas hemorragia alveolar difusa;32;
trastornos urogenitales;cómo reconocen síntomas signos necrosis cortical renal;34;
trastornos neurológicos;cuáles conceptos clave disreflexia autónoma médula espinal;26;
hematología y oncología;cómo clasifica leucemia linfoblástica aguda;6;
trastornos cardiovasculares;cómo diagnostica síndrome intervalo qt largo;12;
enfermedades cerebrales; medulares y nerviosas;cómo presentan síntomas mioclonía;1
trastornos renales y del tracto urinario;dame informaciones cómo obtener muestras tejido células trastornos renales tracto urinario;33;
trastornos inmunológicos;cómo presenta sistema inmunitario introducción;25;
infecciones;cómo manifiestan síntomas leves ausentes infección virus inmunodeficiencia humana vih;7;
trastornos del pulmón y las vías respiratorias;cuáles conceptos clave dificultad respiratoria enfermedades pulmonares vías respiratorias;20;
trastornos urogenitales;cómo diagnostica estenosis uretral;34;
trastornos inmunológicos;cómo diagnostica angioedema;25;
trastornos de la salud mental;cómo presentan trastornos conducta alimentaria salud mental;14;
trastornos de la salud mental;cómo funcionan medicamentos antipsicóticos tratamiento trastornos mentales efectos secundarios pueden producir;14;
enfermedades cerebrales; medulares y nerviosas;cómo causan trastornos ritmo circadiano;1
trastornos de la sangre;cómo presentan síntomas policitemia vera;15;
trastornos del pulmón y las vías respiratorias;cómo diagnostica fibrosis pleural postinflamatoria;20;
trastornos de los huesos; articulaciones y músculos;cómo presenta osteonecrosis mandíbula relacionada medicación mronj entiende introducción;16
trastornos neurológicos;cómo diagnostica atrofia muscular espinal;26;
trastornos oftálmicos;cómo trata oftalmía simpática;29;
trastornos hormonales y metabólicos;cómo identifican diferentes tipos síndromes neoplasia endocrina múltiple nem;24;
trastornos inmunológicos;cómo trata terapia inmunológica trastornos inmunológicos citocinas receptores citocinas;25;
ginecología y obstetricia;cómo diagnostica sangrado uterino anormal;5;
trastornos renales y del tracto urinario;cómo diagnostica inflamación escrotal contexto trastornos renales tracto urinario hogar;33;
enfermedades cerebrales; medulares y nerviosas;cómo presentan síntomas tumores vertebrales;1
salud de las personas de edad avanzada;cómo benefician riesgan medicamentos prescritos salud personas mayores envejecimiento;9;
trastornos endocrinológicos y metabólicos;qué generalidades sistema endocrino hace neurohipófisis;22;
trastornos bucales y dentales;cómo manejan trastornos bucales dentales relacionados sequedad boca hogar;11;
trastornos dermatológicos;cómo diagnositan trastornos dermatológicos relacionados traumatismo uñas onicogrifosis;21;
infecciones;cómo presentan diferentes formas clínicas leishmaniosis;7;
trastornos bucales y dentales;dime introducción trastornos bucales dentales cambios color lengua cambios;11;
traumatismos y envenenamientos;cómo evaluar clasificar priorizar sucesos relacionados armas causan víctimas gran escala casos traumatismos envenenamientos;35;
salud femenina;dame información introducción sangrado uterino anormal salud femenina;10;
traumatismos y envenenamientos;cómo trata fractura cadera;35;
trastornos del pulmón y las vías respiratorias;cómo utiliza oxígeno tratar enfermedades respiratorias;20;
trastornos urogenitales;dame información introducción vejiga neurogénica;34;
trastornos de los huesos; articulaciones y músculos;cómo trata infección mano causada mordedura;16
trastornos de los tejidos musculoesquelético y conectivo;cómo diagnostican tumores huesos articulaciones;17;
trastornos de la salud mental;cómo trata tricotilomanía;14;
trastornos hepáticos y biliares;cómo funciona hígado causan trastornos hepáticos biliares;23;
geriatría;cómo manejan especialmente categorías medicamentos antihipertensores geriatría;4;
salud femenina;cómo funcionan implantes anticonceptivos cómo utilizan métodos anticonceptivos hormonales salud femenina;10;
traumatismos y envenenamientos;cómo diagnostica mal altura cómo adapta aclimatación después traumas envenenamientos;35;
enfermedades cerebrales; medulares y nerviosas;cómo trata espectro neuromielitis óptica;1
enfermedades cerebrales; medulares y nerviosas;cómo diagnostica compresión médula espinal;1
fármacos o sustancias;cómo evalúan aprueban fármacos genéricos términos bioequivalencia intercambiabilidad;3;
trastornos neurológicos;cómo diagnostican neuropatías motoras sensitivas hereditarias;26;
trastornos dermatológicos;cómo produce urticaria;21;
trastornos urogenitales;cómo diagnostican infecciones urinarias bacterianas;34;
trastornos dermatológicos;cómo reconocen síntomas signos liquen plano;21;
trastornos oftálmicos;cómo produce retinopatía diabética;29;
trastornos neurológicos;cómo presenta mielitis transversa aguda;26;
cuidados críticos;cómo realiza lavado peritoneal diagnóstico;0;
trastornos de los tejidos musculoesquelético y conectivo;cómo conceptuan enfermedades juanete relacionadas tejidos musculoesqueléticos conectivos;17;
enfermedades cerebrales; medulares y nerviosas;cómo introduce sistema nervioso periférico cómo ven afectados envejecimiento;1
trastornos odontológicos;cómo describe paso paso procedimiento reemplazar ferulizar diente avulsionado;28;
trastornos cardiovasculares;cómo trata endocarditis infecciosa;12;
trastornos dermatológicos;cómo trata eritema nudoso;21;
trastornos odontológicos;cómo identifican síntomas signos alteración interna articulación temporomandibular;28;
trastornos de los huesos; articulaciones y músculos;cómo diagnostica osteonecrosis mandíbula relacionada medicación;16
trastornos cardiovasculares;cuáles conceptos clave síndrome brugada;12;
trastornos urogenitales;cómo reconocen síntomas signos cáncer pene;34;
trastornos otorrinolaringológicos;cómo diagnositan trastornos oído externo;30;
trastornos neurológicos;cómo trata encefalitis;26;
trastornos neurológicos;qué entiende meningitis signos síntomas pueden indicar condición;26;
infecciones;cómo introduce antibióticos tratamiento infecciones cómo desarrolla resistencia antibióticos;7;
trastornos dermatológicos;dame información introducción síndrome estafilocócico piel escaldada;21;
trastornos de los tejidos musculoesquelético y conectivo;cómo reconocen signos síntomas síndrome túnel cubital;17;
infecciones;cómo presentan síntomas coriomeningitis linfocitaria;7;
trastornos neurológicos;cómo diagnostica meningioma;26;
enfermedades cerebrales; medulares y nerviosas;cómo maneja insomnia somnolencia diurna excesiva hogar enfermedades cerebrales medulares nerviosas;1
ginecología y obstetricia;cómo maneja insuficiencia renal embarazo enfermedad renal terminal;5;
salud de las personas de edad avanzada;cómo actúan profesionales salud cuidado personas mayores;9;
trastornos de la salud mental;cómo diagnositan trastornos mentales inducidos sustancias;14;
infecciones;cómo presentan infecciones clostridios tipos infecciones pélvicas abdominales producen bacterias;7;
trastornos de la piel;cómo presentan trastornos piel especial ronchas urticaria;13;
trastornos dermatológicos;cómo diagnostican malformaciones linfáticas;21;
trastornos pulmonares;cómo realizan estudios imagen tórax ecografía trastornos pulmonares;32;
trastornos pulmonares;cómo realiza procedimiento broncoscopia trastornos pulmonares;32;
ginecología y obstetricia;qué conceptos clave ginecología obstetricia relacionados prurito secreción vaginal;5;
trastornos de los tejidos musculoesquelético y conectivo;cómo realiza artrocentesis articulación metatarsofalángica pies qué recomendaciones sugerencias procedimiento;17;
salud de las personas de edad avanzada;qué entiende cuidado familiar personas mayores cómo relaciona salud personas edad avanzada;9;
trastornos oftálmicos;cómo producen ojos llorosos causas trastornos oftálmicos;29;
trastornos del pulmón y las vías respiratorias;cómo realiza rehabilitación respiratoria drenaje postural trastornos pulmón vías respiratorias;20;
trastornos otorrinolaringológicos;cómo presentan trastornos adenoideos campo trastornos otorrinolaringológicos;30;
trastornos otorrinolaringológicos;cómo introduce oído interior;30;
salud femenina;cómo causan cólicos menstruales;10;
ginecología y obstetricia;cómo diagnostica acretismo placentario;5;
ginecología y obstetricia;cómo evaluar paciente obstétrica;5;
infecciones;cómo presentan infecciones relacionadas covid19;7;
trastornos otorrinolaringológicos;cómo diagnostica laringitis;30;
trastornos de la sangre;cómo causan linfocitopenia aguda;15;
trastornos de la piel;cómo describir marcas protuberancias cutáneas así cambios color piel;13;
trastornos de la piel;cómo causan celulitis;13;
infecciones;cómo diagnostica esquistosomiasis síntomas presenta erupción bañista;7;
trastornos endocrinológicos y metabólicos;dame información introducción síndrome secreción insuficiente adh siadh;22;
trastornos nutricionales;dame informaciones introductories intoxicación cobre;27;
fundamentos;podrías darme información introducción tejidos órganos básicos;2;
hematología y oncología;dame informaciones introducción eosinofilia hematología oncología;6;
trastornos dermatológicos;cómo presentan trastornos dermatológicos relacionados larva migratoria cutánea;21;
enfermedades cerebrales; medulares y nerviosas;cómo diagnostican meduloblastomas específicos tumores cerebrales;1
infecciones;cómo realiza diagnóstico enfermedades infecciosas mediante prueba anticuerpos;7;
trastornos dermatológicos;cómo diagnostica psoriasis;21;
trastornos neurológicos;cómo reconocen signos síntomas síndrome cola caballo;26;
geriatría;cómo cuidan ancianos diariamente geriatría cómo reembolsa cuidado infantil;4;
ginecología y obstetricia;cómo detectan síntomas signos cervicitis;5;
trastornos pulmonares;cómo diagnostica neumonía eosinofílica aguda;32;
trastornos otorrinolaringológicos;cómo refiere generalmente cáncer laringe contexto trastornos otorrinolaringológicos;30;
infecciones;cómo diagnostica tuberculosis;7;
trastornos pulmonares;cuáles indicaciones realizar biopsia transtorácica aguja contexto trastornos pulmonares;32;
trastornos de la piel;cómo diagnostica carcinoma células merkel;13;
trastornos renales y del tracto urinario;cómo causan trombosis vena renal;33;
trastornos cardiovasculares;podrías darme informaciones generales sistema linfático relación trastornos cardiovasculares;12;
infecciones;cómo transmite lepra;7;
salud de las personas de edad avanzada;dame información centros atención personas mayores;9;
trastornos del hígado y de la vesícula biliar;dame informaciones introductories colangitis biliar primaria;19;
trastornos neurológicos;cómo presenta enfermedad huntington;26;
trastornos hormonales y metabólicos;cómo diagnostica insuficiencia hipofisaria;24;
trastornos dermatológicos;cuáles conceptos clave relacionados prurito trastornos dermatológicos;21;
trastornos cardiovasculares;cómo realiza examen cardiovascular centro atención papel desempeña ecografía evaluación trastornos cardiovasculares;12;
trastornos de la salud mental;cómo diagnostica trastorno acumulación;14;
infecciones;dame información enfermedad lyme cómo diagnostica infección;7;
trastornos cardiovasculares;cuáles signos síntomas estenosis aórtica;12;
trastornos del pulmón y las vías respiratorias;cómo trata tos sangre;20;
enfermedades cerebrales; medulares y nerviosas;cómo diagnostica hemorragia subaracnoidea;1
trastornos oftálmicos;cómo diagnostica neuropatía óptica isquémica;29;
trastornos neurológicos;cómo trata dolor crónico neurológico;26;
trastornos del corazón y los vasos sanguíneos;cómo presentan tumores cardíacos;18;
trastornos renales y del tracto urinario;dame información introducción síndrome nefrótico;33;
trastornos de los huesos; articulaciones y músculos;cómo diagnostica polimialgia reumática;16
trastornos nutricionales;podrías darme información general desnutrición;27;
trastornos oftálmicos;cómo extrae cuerpo extraño ojo advertencias errores comunes deben tener cuenta;29;
trastornos urogenitales;cómo produce patología renál crónica;34;
trastornos de los tejidos musculoesquelético y conectivo;cómo diagnostican cordomas primarios hueso;17;
trastornos de los tejidos musculoesquelético y conectivo;cómo diagnostica enfermedad kienböck;17;
traumatismos y envenenamientos;cómo presenta introducción traumatismos envenenamientos hipotermia;35;
infecciones;cómo introduce vacuna hepatitis b;7;
trastornos inmunológicos;cómo realiza terapia inmunológica anticuerpos monoclonales trastornos inmunológicos;25;
salud femenina;cómo maneja sangrado vaginal primer trimestre embarazo relación salud femenina hogar;10;
salud de las personas de edad avanzada;cuáles objetivos terapéuticos atención salud personas mayores;9;
trastornos neurológicos;cómo diagnostica mioclonía;26;
trastornos oftálmicos;cómo presenta introducción retinopatía diabética trastornos oftálmicos;29;
trastornos cardiovasculares;cuáles conceptos clave prolapso válvula mitral pvm trastornos cardiovasculares;12;
traumatismos y envenenamientos;cómo trata mal altura;35;
trastornos oftálmicos;cómo presentan trastornos oftálmicos implica trasplante córnea;29;
hematología y oncología;cómo trata leucemia mieloide crónica;6;
infecciones;cómo previene infecciones oportunistas clamidias;7;
trastornos oftálmicos;cómo presentan síntomas escleritis;29;
traumatismos y envenenamientos;dame informaciones introductories luxación rótula;35;
trastornos otorrinolaringológicos;cómo causan trastornos congestión secreción nasal;30;
trastornos oftálmicos;cómo sientan síntomas desprendimiento retina;29;
trastornos nutricionales;cómo manejan complicaciones nutrición enteral sonda;27;
trastornos hormonales y metabólicos;cómo trata enfermedad carcinoide;24;
trastornos endocrinológicos y metabólicos;cómo diagnostica deficiencia argininavasopressina diabetes insípida central;22;
trastornos del corazón y los vasos sanguíneos;dame información regurgitación válvula aórtica;18;
trastornos oftálmicos;cómo realizan pruebas complementarias trastornos oftálmicos destellos puntos negros flotantes moscas volantes oculares;29;
trastornos de los huesos; articulaciones y músculos;cómo introduce vasculitis trastornos huesos articulaciones músculos;16
trastornos otorrinolaringológicos;dame información introducción tumores oído;30;
salud de las personas de edad avanzada;cómo preven trastornos marcha personas edad avanzada;9;
trastornos renales y del tracto urinario;cómo trata nefroesclerosis arteriolar hipertensiva;33;
trastornos endocrinológicos y metabólicos;podrías darme información general sistema endocrino controles hipotalámicos;22;
salud femenina;cómo presenta introducción estenosis cervical contexto salud femenina;10;
salud femenina;cómo diagnostica preeclampsia eclampsia;10;
trastornos otorrinolaringológicos;dame información introducción otoesclerosis;30;
hematología y oncología;qué conceptos clave policitemia vera hematología oncología;6;
trastornos neurológicos;cómo presentan síntomas signos meningiomas;26;
trastornos oftálmicos;cómo trata visión doble;29;
trastornos de la salud mental;cómo manejan trastornos mentales hogar cómo producen cambios personalidad comportamiento;14;
trastornos urogenitales;cómo hacer reducción parafimosis hendidura dorsal recomendaciones sugerencias hacerlo;34;
trastornos odontológicos;cuáles conceptos clave trastornos odontológicos fracturas avulsiones dentarias;28;
trastornos de los huesos; articulaciones y músculos;cómo diagnostica fasciosis plantar;16
trastornos oftálmicos;cómo produce queratoconjunctivitis seca;29;
trastornos otorrinolaringológicos;cómo maneja hemorragia nasal hogar trastornos otorrinolaringológicos;30;
salud femenina;cómo atiende salud femenina período postparto cómo transita hospital casa;10;
trastornos de los huesos; articulaciones y músculos;cómo trata dolor articular afecta varias articulaciones;16
salud femenina;cómo manejan cardiopatías embarazo valvulopatías materia salud femenina;10;
trastornos del hígado y de la vesícula biliar;cómo diagnostica hipertensión portal;19;
trastornos de los tejidos musculoesquelético y conectivo;cómo reconocen signos síntomas poliangeitis microscópica;17;
trastornos hormonales y metabólicos;cómo presentan síntomas síndrome secreción inadecuada hormona antidiurética siadh;24;
trastornos dermatológicos;cómo detectan erupciones polimorfas reactivas luz trastornos dermatológicos;21;
trastornos dermatológicos;cómo presenta introducción retroniquia relación trastornos dermatológicos;21;
salud femenina;cómo presenta salud femenina embarazo relación fibromas;10;
trastornos urogenitales;cómo diagnostica nefropatía tubulointersticial autosómica dominante;34;
ginecología y obstetricia;cómo causa secreción pezón ginecología obstetricia;5;
trastornos de los huesos; articulaciones y músculos;cómo diagnositan desplasias fibrosas;16
trastornos urogenitales;dame información introducción cáncer testicular trastornos urogenitales;34;
enfermedades cerebrales; medulares y nerviosas;cómo diagnostica delirio qué pronóstico delirio;1
trastornos de la salud mental;cómo trata enfermedad mental trastorno pedófilo medicamentos utilizan;14;
cuidados críticos;cómo realiza canulación arteria femoral bajo guía ecográfica complicaciones pueden surgir;0;
trastornos neurológicos;cómo diagnostica migraña;26;
fundamentos;cómo elegir ejercicio físico correcto base fundamentos máquinas elípticas;2;
trastornos de la piel;cómo presentan síntomas infestación piojos;13;
trastornos del pulmón y las vías respiratorias;cómo diagnostica carcinoide bronquial;20;
ginecología y obstetricia;cómo trata enfermedad hemolítica feto recién nacido;5;
trastornos oftálmicos;cómo cuidan cuidados posquirúrgicos complicaciones cataratas oftálmicas;29;
trastornos de los tejidos musculoesquelético y conectivo;cómo diagnostica policondritis recidivante;17;
trastornos otorrinolaringológicos;cómo complica otitis media aguda;30;
trastornos de la piel;cómo presentan síntomas rosácea;13;
trastornos de los huesos; articulaciones y músculos;cómo presenta dolor cervical trastornos afectan huesos articulaciones músculos;16
trastornos dermatológicos;cómo presenta introducción candidiasis mucocutánea;21;
trastornos neurológicos;cuáles conceptos clave meningitis subaguda crónica;26;
trastornos de los huesos; articulaciones y músculos;cómo presentan causas vasculitis;16
enfermedades cerebrales; medulares y nerviosas;cómo presentan síntomas absceso epidural intracraneal empiema subdural enfermedades cerebrales medulares nerviosas;1
ginecología y obstetricia;cuál introducción diabetes mellitus embarazo ginecología obstetricia;5;
trastornos de la piel;cómo trata lesión piel causada radiación solar;13;
trastornos bucales y dentales;cómo manejan problemas bucales dentales hogar relacionados mal aliento;11;
trastornos endocrinológicos y metabólicos;dame información introducción depleción volumen trastornos endocrinológicos metabólicos;22;
trastornos de los tejidos musculoesquelético y conectivo;cómo trata síndrome quervain;17;
salud femenina;cómo causan trastornos orgásmicos mujeres;10;
trastornos del corazón y los vasos sanguíneos;dame informaciones introductivas extrasístole auricular;18;
trastornos oftálmicos;dame información tracoma;29;
trastornos de los huesos; articulaciones y músculos;cómo presentan síntomas enfermedad ósea paget;16
trastornos urogenitales;dame información introducción pielonefritis crónica;34;
salud femenina;cómo funciona gel anticonceptivo salud femenina cómo utiliza comparación anticonceptivos barrera;10;
trastornos endocrinológicos y metabólicos;cómo trata acidosis metabólica;22;
trastornos cardiovasculares;dame información medicamentos hipertensión arterial;12;
